State,Date_of_Scraping,URL,News_type,News_Dates,News_Titles,News_Shorts
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=233,Old Homepage,13.06.2012,"On June 11, 2012 the delegation of the Ministry of Foreign Affairs of the Republic of Abkhazia arrived in Transdniester Moldovan Republic with a working visit",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=240,Old Homepage,13.06.2012,"On June 13 2012 the Deputy Minister of Foreign Affairs, Irakli Khintba met a delegation from Nizhny Novgorod",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=244,Old Homepage,15.06.2012,The Abkhaz Language May Be Introduced at Public Universities and Schools in Turkey ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=247,Old Homepage,18.06.2012,On the 20th Round of the Geneva Discussions on Security and Stability in the South Caucasus ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=251,Old Homepage,18.06.2012,"The Minister of Foreign Affairs of the Republic of Abkhazia, Viacheslav Chirikba met with the Ambassador of the Czech Republic to Georgia Ivan Jestrab",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=257,Old Homepage,19.06.2012,The Foreign Minister of the Republic of Abkhazia Viacheslav Chirikba Conveys Condolences on the Occasion of the 20th Anniversary of the Bendery Tragedy ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=263,Old Homepage,21.06.2012,Report by the ANSA news agency on the meeting of the Foreign Minister of Abkhazia Viacheslav Chirikba with the Vice-President of Marche Paolo Petrini,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=266,Old Homepage,20.06.2012,"On June 19, 2012 the Minister of Foreign Affairs of the Republic of Abkhazia, Viacheslav Chirikba received the Honorary Consul of the Republic of Abkhazia in the city of Nizhny Novgorod, Vladimir Litvinchuk",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=272,Old Homepage,21.06.2012,"On June 21, 2012 the Minister of Foreign Affairs of the Republic of Abkhazia, Viacheslav Chirikba received a delegation of the U.S. Embassy in Georgia",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=279,Old Homepage,25.06.2012,The delegation of the MFA of Abkhazia finished their working visit in the TMR ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=289,Old Homepage,25.06.2012,The Foreign Minister of the Republic of Abkhazia Receives Representatives of the British Non-Governmental Organization “Conciliation Resources” Jonathan Cohen and Rachel Clogg ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=290,Old Homepage,22.06.2012,Statement by the MFA of the Republic of Abkhazia “On the Resumption of Terrorist Activity of Georgia in Abkhazia” ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=294,Old Homepage,27.06.2012,"Ambassador of the Republic of Nicaragua in the Russian Federation and concurrently in the Republic of Abkhazia, Luis Alberto Molina Cuadra presented copies of credentials to the Minister of Foreign Affairs of the Republic of Abkhazia, Viacheslav Chirikba.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=297,Old Homepage,28.06.2012,Abkhazian Foreign Minister Viacheslav Chirikba met with the new UNDP program manager Giovanni Mozzarella and deputy UNDP program manager Galiya Kalimova,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=302,Old Homepage,02.07.2012,Minister of Foreign Affairs Viacheslav Chirikba congratulated the personnel of the Ministry of Foreign Affairs of the Pridnestrovien Moldavian Republic with the 20th anniversary of the formation of the Foreign Ministry of Transdniestria,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=309,Old Homepage,02.07.2012,The Head of the Abkhaz MFA Viacheslav Chirikba Congratulates the Ambassador Extraordinary and Plenipotentiary of the Russian Federation to Abkhazia S. Grigoryev on His Birthday ,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=311,Old Homepage,03.07.2012,"On June 30 and July 1, 2012 the first Moscow stage of the World Karate Games was held at the Palace of martial arts of Zelenograd.",NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=313,Old Homepage,03.07.2012,Deputy Minister of Foreign Affairs of the Republic of Abkhazia Irakli Khintba met with the Senior Advisor to the Organization for Europe and Central Asia “Safer World” Craig Oliphant.,NA
Abkhazia,2021-05-26,http://old.mfaapsny.org/en/information/index.php?ID=318,Old Homepage,04.07.2012,STATEMENT OF THE MFA OF ABKHAZIA,NA
